2023-12-30 17:01:17 | INFO | model_worker | Loading the model ['chatglm3-6b'] on worker 1bce0032 ...
2023-12-30 17:01:20 | ERROR | stderr | Downloading shards:   0%|                                                                         | 0/7 [00:00<?, ?it/s]
2023-12-30 17:01:23 | ERROR | stderr | Downloading shards:  14%|█████████▎                                                       | 1/7 [00:03<00:21,  3.55s/it]
2023-12-30 17:01:23 | ERROR | stderr | 
2023-12-30 17:01:23 | ERROR | stderr | Process model_worker - chatglm3-6b:
2023-12-30 17:01:23 | ERROR | stderr | urllib3.exceptions.SSLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)
2023-12-30 17:01:23 | ERROR | stderr | 
2023-12-30 17:01:23 | ERROR | stderr | The above exception was the direct cause of the following exception:
2023-12-30 17:01:23 | ERROR | stderr | 
2023-12-30 17:01:23 | ERROR | stderr | Traceback (most recent call last):
2023-12-30 17:01:23 | ERROR | stderr |   File "/home/root1/anaconda3/envs/langchain/lib/python3.10/site-packages/requests/adapters.py", line 486, in send
2023-12-30 17:01:23 | ERROR | stderr |     resp = conn.urlopen(
2023-12-30 17:01:23 | ERROR | stderr |   File "/home/root1/anaconda3/envs/langchain/lib/python3.10/site-packages/urllib3/connectionpool.py", line 844, in urlopen
2023-12-30 17:01:23 | ERROR | stderr |     retries = retries.increment(
2023-12-30 17:01:23 | ERROR | stderr |   File "/home/root1/anaconda3/envs/langchain/lib/python3.10/site-packages/urllib3/util/retry.py", line 515, in increment
2023-12-30 17:01:23 | ERROR | stderr |     raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
